x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
-10,88,27,0,0,66,50,1,5,2,0,5,3,50,0
-16,15,27,0,33,66,50,1,5,2,0,5,3,50,0
-7,205,27,0,68,66,50,1,5,2,0,5,3,50,0
-18,10,27,0,98,66,50,1,5,2,0,5,3,50,0
-14,296,27,0,98,66,50,1,5,2,0,5,3,50,0
-20,20,27,0,135,66,50,1,5,2,0,5,3,50,0
-12,342,27,0,174,66,50,1,5,2,0,5,3,50,0
511,169,28,0,0,66,50,1,5,2,0,5,3,50,0
540,86,28,0,52,66,50,1,5,2,0,5,3,50,0
539,402,28,0,84,66,50,1,5,2,0,5,3,50,0
513,216,28,0,119,66,50,1,5,2,0,5,3,50,0
526,40,28,0,175,66,50,1,5,2,0,5,3,50,0
521,34,28,0,207,66,50,1,5,2,0,5,3,50,0
553,334,28,0,207,66,50,1,5,2,0,5,3,50,0
503,526,28,0,237,66,50,1,5,2,0,5,3,50,0
513,115,28,0,278,66,50,1,5,2,0,5,3,50,0
503,38,28,0,329,66,50,1,5,2,0,5,3,50,0
526,243,28,0,366,66,50,1,5,2,0,5,3,50,0
