x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
-15,197,-1,2,0,50,50,1,3,2,0,5,3,50,0
-14,280,-1,2,29,50,50,1,3,2,0,5,3,50,0
-4,314,-1,2,54,50,50,1,3,2,0,5,3,50,0
-18,214,-1,2,54,50,50,1,3,2,0,5,3,50,0
-16,136,-1,2,54,50,50,1,3,2,0,5,3,50,0
-22,252,-1,2,83,50,50,1,3,2,0,5,3,50,0
-17,290,-1,2,83,50,50,1,3,2,0,5,3,50,0
-26,319,-1,2,83,50,50,1,3,2,0,5,3,50,0
-11,140,-1,2,126,50,50,1,3,2,0,5,3,50,0
-21,163,-1,2,126,50,50,1,3,2,0,5,3,50,0
-21,505,-1,2,126,50,50,1,3,2,0,5,3,50,0
-12,236,-1,2,126,50,50,1,3,2,0,5,3,50,0
-9,265,-1,2,126,50,50,1,3,2,0,5,3,50,0
-22,327,-1,2,126,50,50,1,3,2,0,5,3,50,0
-21.45656,376.997,-1,2,126,50,50,1,3,2,0,5,3,50,0
-15,273,-1,2,21,50,50,1,3,2,0,5,3,50,0
-14,47,-1,2,40,50,50,1,3,2,0,5,3,50,0
-16,424,-1,2,40,50,50,1,3,2,0,5,3,50,0
-20,375,-1,2,61,50,50,1,3,2,0,5,3,50,0
-18,381,-1,2,97,50,50,1,3,2,0,5,3,50,0
-17,269,-1,2,117,50,50,1,3,2,0,5,3,50,0
-15,347,-1,2,117,50,50,1,3,2,0,5,3,50,0
-4,378,-1,2,150,50,50,1,3,2,0,5,3,50,0
-13,101,-1,2,150,50,50,1,3,2,0,5,3,50,0
-17,270,-1,2,165,50,50,1,3,2,0,5,3,50,0
-8,503,-1,2,186,50,50,1,3,2,0,5,3,50,0
-13,317,-1,2,186,50,50,1,3,2,0,5,3,50,0
-7,127,-1,2,210,50,50,1,3,2,0,5,3,50,0
-14,280,-1,2,210,50,50,1,3,2,0,5,3,50,0
491,325,-2,2,0,50,50,1,3,2,0,5,3,50,0
487,193,-2,2,34,50,50,1,3,2,0,5,3,50,0
489,414,-2,2,67,50,50,1,3,2,0,5,3,50,0
486,515,-2,2,93,50,50,1,3,2,0,5,3,50,0
511,483,-2,2,93,50,50,1,3,2,0,5,3,50,0
493,218,-2,2,119,50,50,1,3,2,0,5,3,50,0
489,99,-2,2,149,50,50,1,3,2,0,5,3,50,0
528,175,-2,2,174,50,50,1,3,2,0,5,3,50,0
500,208,-2,2,202,50,50,1,3,2,0,5,3,50,0
565,235,-2,2,252,50,50,1,3,2,0,5,3,50,0
500,337,-2,2,50,50,50,1,3,2,0,5,3,50,0
490,130,-2,2,121,50,50,1,3,2,0,5,3,50,0
509,359,-2,2,152,50,50,1,3,2,0,5,3,50,0
503,468,-2,2,189,50,50,1,3,2,0,5,3,50,0
502,386,-2,2,216,50,50,1,3,2,0,5,3,50,0
499,54,-2,2,246,50,50,1,3,2,0,5,3,50,0
505,141,-2,2,288,50,50,1,3,2,0,5,3,50,0
512,364,-2,2,319,50,50,1,3,2,0,5,3,50,0
525,361,-2,2,43,50,50,1,3,2,0,5,3,50,0
503,183,-2,2,106,50,50,1,3,2,0,5,3,50,0
537,421,-2,2,146,50,50,1,3,2,0,5,3,50,0
510,376,-2,2,201,50,50,1,3,2,0,5,3,50,0
510,424,-2,2,265,50,50,1,3,2,0,5,3,50,0
508,464,-2,2,310,50,50,1,3,2,0,5,3,50,0
515,391,-2,2,370,50,50,1,3,2,0,5,3,50,0
