x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
22,-3,21,0,0,36,20,1,0,2,0,5,3,50,0
456,-3,21,0,0,36,20,1,0,2,0,5,3,50,0
22,-3,21,0,55,36,20,1,0,2,0,5,3,50,0
456,-3,21,0,55,36,20,1,0,2,0,5,3,50,0
22,-3,21,0,110,36,20,1,0,2,0,5,3,50,0
456,-3,21,0,110,36,20,1,0,2,0,5,3,50,0
22,-3,21,0,165,36,20,1,0,2,0,5,3,50,0
456,-3,21,0,165,36,20,1,0,2,0,5,3,50,0
22,-3,21,0,220,36,20,1,0,2,0,5,3,50,0
456,-3,21,0,220,36,20,1,0,2,0,5,3,50,0
22,-3,21,0,275,36,20,1,0,2,0,5,3,50,0
456,-3,21,0,275,36,20,1,0,2,0,5,3,50,0
105,70,22,0,0,210,40,1,0,2,3,5,5,70,0
373,70,22,0,0,210,40,1,0,2,2,5,5,70,0
155,70,22,0,0,210,40,1,0,2,2,5,5,70,0
323,70,22,0,0,210,40,1,0,2,2,5,5,70,0
205,70,22,0,0,210,40,1,0,2,2,5,5,70,0
273,70,22,0,0,210,40,1,0,2,2,5,5,70,0
