x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
410,-9,-4,2,0,20,50,1,-1,2,0,5,3,50,0
315,-6,-4,2,0,20,50,1,-1,2,0,5,3,50,0
219,-10,-4,2,19,20,50,1,-1,2,0,5,3,50,0
162,-10,-4,2,19,20,50,1,-1,2,0,5,3,50,0
116,-4,-4,2,19,20,50,1,-1,2,0,5,3,50,0
51,-9,-4,2,19,20,50,1,-1,2,0,5,3,50,0
75,-11,-4,2,19,20,50,1,-1,2,0,5,3,50,0
287,-8,-4,2,19,20,50,1,-1,2,0,5,3,50,0
250,-7,-4,2,19,20,50,1,-1,2,0,5,3,50,0
326,-5,-4,2,19,20,50,1,-1,2,0,5,3,50,0
384,-9,-4,2,19,20,50,1,-1,2,0,5,3,50,0
429,-5,-4,2,19,20,50,1,-1,2,0,5,3,50,0
470,-11,-4,2,19,20,50,1,-1,2,0,5,3,50,0
382,-11,-4,2,39,20,50,1,-1,2,0,5,3,50,0
332.003,-10.45655,-4,2,39,20,50,1,-1,2,0,5,3,50,0
282.0059,-9.913103,-4,2,39,20,50,1,-1,2,0,5,3,50,0
232.0089,-9.369655,-4,2,39,20,50,1,-1,2,0,5,3,50,0
182.0118,-8.826206,-4,2,39,20,50,1,-1,2,0,5,3,50,0
132.0148,-8.282758,-4,2,39,20,50,1,-1,2,0,5,3,50,0
429,-9,-4,2,62,20,50,1,-1,2,0,5,3,50,0
379,-9.000005,-4,2,62,20,50,1,-1,2,0,5,3,50,0
329,-9.00001,-4,2,62,20,50,1,-1,2,0,5,3,50,0
279,-9.000014,-4,2,62,20,50,1,-1,2,0,5,3,50,0
229,-9.000019,-4,2,62,20,50,1,-1,2,0,5,3,50,0
179,-9.000024,-4,2,62,20,50,1,-1,2,0,5,3,50,0
129,-9.000029,-4,2,62,20,50,1,-1,2,0,5,3,50,0
79,-9.000033,-4,2,62,20,50,1,-1,2,0,5,3,50,0
34,-6,-4,2,100,20,50,1,-1,2,0,5,3,50,0
34,-6,-4,2,120,20,50,1,-1,2,0,5,3,50,0
34,-6,-4,2,140,20,50,1,-1,2,0,5,3,50,0
83.9957,-6.656112,-4,2,100,20,50,1,-1,2,0,5,3,50,0
83.9957,-6.656112,-4,2,120,20,50,1,-1,2,0,5,3,50,0
83.9957,-6.656112,-4,2,140,20,50,1,-1,2,0,5,3,50,0
133.9914,-7.312223,-4,2,100,20,50,1,-1,2,0,5,3,50,0
133.9914,-7.312223,-4,2,120,20,50,1,-1,2,0,5,3,50,0
133.9914,-7.312223,-4,2,140,20,50,1,-1,2,0,5,3,50,0
183.9871,-7.968335,-4,2,100,20,50,1,-1,2,0,5,3,50,0
183.9871,-7.968335,-4,2,120,20,50,1,-1,2,0,5,3,50,0
183.9871,-7.968335,-4,2,140,20,50,1,-1,2,0,5,3,50,0
233.9828,-8.624447,-4,2,100,20,50,1,-1,2,0,5,3,50,0
233.9828,-8.624447,-4,2,120,20,50,1,-1,2,0,5,3,50,0
233.9828,-8.624447,-4,2,140,20,50,1,-1,2,0,5,3,50,0
283.9785,-9.280559,-4,2,100,20,50,1,-1,2,0,5,3,50,0
283.9785,-9.280559,-4,2,120,20,50,1,-1,2,0,5,3,50,0
283.9785,-9.280559,-4,2,140,20,50,1,-1,2,0,5,3,50,0
333.9742,-9.93667,-4,2,100,20,50,1,-1,2,0,5,3,50,0
333.9742,-9.93667,-4,2,120,20,50,1,-1,2,0,5,3,50,0
333.9742,-9.93667,-4,2,140,20,50,1,-1,2,0,5,3,50,0
383.9699,-10.59278,-4,2,100,20,50,1,-1,2,0,5,3,50,0
383.9699,-10.59278,-4,2,120,20,50,1,-1,2,0,5,3,50,0
383.9699,-10.59278,-4,2,140,20,50,1,-1,2,0,5,3,50,0
