x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
490,109,-5,2,0,20,50,1,-1,2,0,5,3,20,0
488.4479,158.9759,-5,2,0,20,50,1,-1,2,0,5,3,20,0
486.8959,208.9518,-5,2,0,20,50,1,-1,2,0,5,3,20,0
485.3438,258.9277,-5,2,0,20,50,1,-1,2,0,5,3,20,0
493,142,-5,2,25,20,50,1,-1,2,0,5,3,20,0
493.4608,191.9979,-5,2,25,20,50,1,-1,2,0,5,3,20,0
493.9216,241.9958,-5,2,25,20,50,1,-1,2,0,5,3,20,0
494.3824,291.9936,-5,2,25,20,50,1,-1,2,0,5,3,20,0
494.8433,341.9915,-5,2,25,20,50,1,-1,2,0,5,3,20,0
482,263,-5,2,80,20,50,1,-1,2,0,5,3,20,0
498,283,-5,2,80,20,50,1,-1,2,0,5,3,20,0
498,333,-5,2,80,20,50,1,-1,2,0,5,3,20,0
498,383,-5,2,80,20,50,1,-1,2,0,5,3,20,0
498,433,-5,2,80,20,50,1,-1,2,0,5,3,20,0
498,483,-5,2,80,20,50,1,-1,2,0,5,3,20,0
489,95,-5,2,113,20,50,1,-1,2,0,5,3,20,0
488.7191,144.9992,-5,2,113,20,50,1,-1,2,0,5,3,20,0
488.4382,194.9984,-5,2,113,20,50,1,-1,2,0,5,3,20,0
488.1573,244.9976,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.8765,294.9968,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.5956,344.996,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.3147,394.9952,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.0338,444.9944,-5,2,113,20,50,1,-1,2,0,5,3,20,0
488,120,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.8366,169.9997,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.6732,219.9995,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.5098,269.9992,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.3464,319.9989,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.183,369.9986,-5,2,113,20,50,1,-1,2,0,5,3,20,0
487.0197,419.9984,-5,2,113,20,50,1,-1,2,0,5,3,20,0
-11,49,-6,2,174,20,50,1,-1,2,0,5,3,20,0
-11.56815,98.99677,-6,2,174,20,50,1,-1,2,0,5,3,20,0
-12.1363,148.9935,-6,2,174,20,50,1,-1,2,0,5,3,20,0
-12.70444,198.9903,-6,2,174,20,50,1,-1,2,0,5,3,20,0
-12,134,-6,2,198,20,50,1,-1,2,0,5,3,20,0
-13.6423,183.973,-6,2,198,20,50,1,-1,2,0,5,3,20,0
-15.28461,233.946,-6,2,198,20,50,1,-1,2,0,5,3,20,0
-16.92691,283.9191,-6,2,198,20,50,1,-1,2,0,5,3,20,0
-18.56921,333.8921,-6,2,198,20,50,1,-1,2,0,5,3,20,0
-19,22,-6,2,230,20,50,1,-1,2,0,5,3,20,0
-16.67693,71.946,-6,2,230,20,50,1,-1,2,0,5,3,20,0
-19,416,-6,2,230,20,50,1,-1,2,0,5,3,20,0
-14.23912,465.7728,-6,2,230,20,50,1,-1,2,0,5,3,20,0
-9.478245,515.5457,-6,2,230,20,50,1,-1,2,0,5,3,20,0
-24,29,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-22.71508,78.98349,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-21.43016,128.967,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-20.14524,178.9505,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-18.86032,228.934,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-17.5754,278.9174,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-16.29048,328.9009,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-15.00556,378.8844,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-24,48,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-23.38403,97.9962,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-22.76805,147.9924,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-22.15208,197.9886,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-21.53611,247.9848,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-20.92014,297.981,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-20.30416,347.9772,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-19.68819,397.9734,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-19.07222,447.9697,-6,2,268,20,50,1,-1,2,0,5,3,20,0
-18.45625,497.9659,-6,2,268,20,50,1,-1,2,0,5,3,20,0
