x座標,y座標,動き方,種類,登場時間,待ち時間,弾間隔,弾個数,弾種類,弾knd,弾col,弾角度,弾速度,体力,アイテム
322,175,-3,0,0,20,50,1,0,2,0,5,3,50,0
151,153,-3,0,0,20,50,1,0,2,0,5,3,50,0
235,94,-3,0,0,20,50,1,0,2,0,5,3,50,0
376,223,-3,0,0,20,50,1,0,2,0,5,3,50,0
85,224,-3,0,0,20,50,1,0,2,0,5,3,50,0
140,142,-3,0,73,20,50,1,0,2,0,5,3,50,0
375,244,-3,0,73,20,50,1,0,2,0,5,3,50,0
424,50,-3,0,73,20,50,1,0,2,0,5,3,50,0
169,56,-3,0,73,20,50,1,0,2,0,5,3,50,0
48,288,-3,0,73,20,50,1,0,2,0,5,3,50,0
403,91,-3,0,154,20,50,1,0,2,0,5,3,50,0
365.9351,57.44122,-3,0,154,20,50,1,0,2,0,5,3,50,0
129,53,-3,0,154,20,50,1,0,2,0,5,3,50,0
93.64466,88.35534,-3,0,154,20,50,1,0,2,0,5,3,50,0
58.28932,123.7107,-3,0,154,20,50,1,0,2,0,5,3,50,0
365,593,-3,0,247,20,50,1,0,2,0,5,3,50,0
330.4353,556.8713,-3,0,247,20,50,1,0,2,0,5,3,50,0
295.8706,520.7427,-3,0,247,20,50,1,0,2,0,5,3,50,0
261.3059,484.614,-3,0,247,20,50,1,0,2,0,5,3,50,0
226.7412,448.4853,-3,0,247,20,50,1,0,2,0,5,3,50,0
192.1765,412.3566,-3,0,247,20,50,1,0,2,0,5,3,50,0
157.6119,376.2279,-3,0,247,20,50,1,0,2,0,5,3,50,0
234,42,-3,0,353,20,50,1,0,2,0,5,3,50,0
414,233,-3,0,353,20,50,1,0,2,0,5,3,50,0
101,244,-3,0,353,20,50,1,0,2,0,5,3,50,0
251,343,-3,0,353,20,50,1,0,2,0,5,3,50,0
